1.200000000000000000e+01,2.677823074389318325e-01,2.677823074389318325e-01
1.100000000000000000e+01,2.526307922874166390e-01,2.526307922874166390e-01
1.500000000000000000e+01,6.357244826848079677e-01,6.357244826848079677e-01
1.100000000000000000e+01,3.899851015187439374e-01,3.899851015187439374e-01
2.200000000000000000e+01,3.976875653477335848e-01,3.976875653477335848e-01
2.100000000000000000e+01,5.544872660209085868e-01,5.544872660209085868e-01
1.000000000000000000e+01,9.177564053965044932e-01,9.177564053965044932e-01
1.000000000000000000e+01,7.177564053965044266e-01,7.177564053965044266e-01
8.000000000000000000e+00,1.117756405396504338e+00,1.117756405396504338e+00
7.000000000000000000e+00,8.320421196822187504e-01,8.320421196822187504e-01
2.100000000000000000e+01,1.735348850685276278e-01,1.735348850685276278e-01
1.600000000000000000e+01,3.677564053965043933e-01,3.677564053965043933e-01
6.000000000000000000e+00,1.141601057244700179e+00,1.141601057244700179e+00
1.800000000000000000e+01,6.021063136399561477e-01,6.021063136399561477e-01
3.800000000000000000e+01,9.627670051670907114e-02,9.627670051670907114e-02
3.800000000000000000e+01,2.512291206574999713e-01,2.512291206574999713e-01
1.000000000000000000e+01,5.249602926204608444e-01,5.249602926204608444e-01
1.100000000000000000e+01,3.981861419527666368e-01,3.981861419527666368e-01
8.000000000000000000e+00,8.749602926204608222e-01,8.749602926204608222e-01
1.500000000000000000e+01,4.344489741055985177e-01,4.344489741055985177e-01
1.500000000000000000e+01,4.582936259537941370e-01,4.582936259537941370e-01
1.200000000000000000e+01,4.582936259537941925e-01,4.582936259537941925e-01
1.300000000000000000e+01,1.124960292620460933e+00,1.124960292620460933e+00
2.200000000000000000e+01,4.808941924278348767e-01,4.808941924278348767e-01
1.900000000000000000e+01,1.071425618648208733e+00,1.071425618648208733e+00
2.200000000000000000e+01,1.171904087547730455e+00,1.171904087547730455e+00
1.700000000000000000e+01,1.455326547440778606e+00,1.455326547440778606e+00
2.100000000000000000e+01,6.487698164299846582e-01,6.487698164299846582e-01
1.900000000000000000e+01,4.344489741055984067e-01,4.344489741055984067e-01
5.000000000000000000e+01,7.649602926204608355e-01,7.649602926204608355e-01
5.500000000000000000e+01,6.885966562568245353e-01,6.885966562568245353e-01
